,lat,long,cluster_coordinates
810775,34.045946,-118.245048,0
812080,34.042027,-118.26141,0
814007,34.066599,-118.236095,0
815285,34.038783,-118.256927,0
816707,34.063175,-118.237999,0
817411,34.06416,-118.237702,0
819716,34.034464,-118.256918,0
820921,34.060153,-118.236762,0
826036,34.043396,-118.25839,0
826973,34.041889,-118.258321,0
828816,34.043263,-118.263684,0
830869,34.053787,-118.241155,0
832280,34.038467,-118.266433,0
832740,34.065681,-118.238192,0
833944,34.045608,-118.249491,0
835081,34.038722,-118.263007,0
835871,34.062363,-118.448273,1
837049,34.039344,-118.263924,0
837794,34.037325,-118.261345,0
838637,34.060673,-118.446722,1
840111,34.040525,-118.252624,0
840858,34.039299,-118.263968,0
841557,34.038264,-118.258949,0
842991,34.049974,-118.250541,0
845763,34.036966,-118.259999,0
847199,34.060009,-118.237745,0
848715,34.04512,-118.246972,0
850771,34.064481,-118.237111,0
852370,34.048962,-118.251482,0
854219,34.043209,-118.26374,0
855077,34.037294,-118.258127,0
857383,34.066205,-118.23611,0
858272,34.060064,-118.237719,0
860172,34.045643,-118.251141,0
861332,34.06324,-118.237966,0
862290,34.062495,-118.238583,0
864389,34.038168,-118.25681,0
864907,34.063966,-118.236985,0
871035,34.039967,-118.251382,0
874233,34.049025,-118.257828,0
874894,34.062981,-118.236469,0
875579,34.041729,-118.252731,0
876365,34.066036,-118.238016,0
878600,34.04168,-118.252807,0
879561,34.097654,-118.323661,2
880264,34.063987,-118.237074,0
886988,34.063904,-118.441618,1
887425,34.041197,-118.253271,0
889114,34.099756,-118.323303,2
890032,34.060609,-118.24967,0
891212,34.101164,-118.322251,2
891908,34.055895,-118.249299,0
893455,34.061539,-118.237831,0
894208,34.045459,-118.261051,0
896438,34.045535,-118.240843,0
897044,34.058156,-118.251777,0
897725,34.058197,-118.251736,0
903101,34.059603,-118.237036,0
905087,34.044335,-118.238195,0
906177,34.044278,-118.238197,0
907191,34.062498,-118.447265,1
909859,34.052656,-118.253874,0
910194,34.045387,-118.260658,0
912785,34.045081,-118.240255,0
915308,34.047878,-118.247003,0
916763,34.060355,-118.249881,0
917654,34.099056,-118.322406,2
918825,34.045384,-118.24525,0
919677,34.046157,-118.240286,0
