space_id,block_face,meter_type,rate_type,rate_range,metered_time_limit,lat,long
PC87B,4400 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,34.04828,-118.332797
VW1439,500 WESTMORELAND AVE,Single-Space,FLAT,$1.00,2HR,34.064637,-118.288352
VN627,14301 W CALVERT ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.181722,-118.444922
SV669,1301 N LA BREA AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.095452,-118.344219
WN282,100 G ST,Single-Space,FLAT,$0.50,2HR,33.778437,-118.262743
CB1228,1001 S OLIVE ST,Single-Space,FLAT,$0.50,4HR,34.04111,-118.260778
WF615,8401 W BLACKBURN AVE,Single-Space,FLAT,$1.00,1HR,34.072443,-118.375935
CP11,7201 N ALABAMA AVE,Single-Space,FLAT,$1.00,2HR,34.201434,-118.599084
SG186,7901 W SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.098145,-118.363446
LM667,201 S LA BREA AVE,Single-Space,FLAT,$1.00,2HR,34.069923,-118.344148
SVV146,701 VIRGIL AVE,Single-Space,FLAT,$1.00,2HR,34.085208,-118.286949
WW894,600 KINGSLEY DR,Single-Space,FLAT,$1.00,4HR,34.062256,-118.302785
VN22,6801 N VAN NUYS BLVD,Single-Space,FLAT,$1.00,2HR,34.194599,-118.448902
PC126,3800 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,34.047385,-118.32284
WP189,500 WASHINGTON BLVD,Single-Space,FLAT,$1.00,2HR,33.983495,-118.459405
HO733,1600 N SYCAMORE AVE,Single-Space,TOD,$2.00 - $4.00,2HR,34.101178,-118.343255
WW1993,3651 WILSHIRE BLVD,Single-Space,FLAT,$1.00,2HR,34.061821,-118.304924
LC357A,8401 W BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.076148,-118.37482
PM45,3201 S MOTOR AVE,Single-Space,FLAT,$1.00,1HR,34.029685,-118.411172
CB1318,1101 S GRAND AVE,Single-Space,TOD,$0.50 - $1.50,4HR,34.041129,-118.2625
SL321,4001 SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.092755,-118.280509
CT78,600 N BROADWAY,Single-Space,FLAT,$0.50,2HR,34.058778,-118.239967
VN379,14501 W ERWIN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.183699,-118.449881
VN904,14400 W FRIAR ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.185624,-118.448347
CT537,701 N SPRING ST,Single-Space,FLAT,$0.50,4HR,34.061663,-118.237106
MM192,600 S DETROIT ST,Single-Space,FLAT,$1.00,2HR,34.062838,-118.345034
SW77,5401 W SANTA MONICA BLVD,Single-Space,FLAT,$1.00,1HR,34.090866,-118.30821
CB1578,1101 S MAPLE AVE,Single-Space,TOD,$0.50 - $6.00,2HR,34.037012,-118.255323
LT502,101 S CENTRAL AVE,Single-Space,TOD,$0.50 - $4.00,2HR,34.048126,-118.239392
VW1403A,3101 7TH ST,Single-Space,FLAT,$1.00,1HR,34.059859,-118.293741
VS76,4600 SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.098044,-118.290413
PR624,9900 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.053128,-118.404338
WW1392B,4800 ROSEWOOD AVE,Single-Space,FLAT,$1.00,1HR,34.079239,-118.309672
WW2459,3901 BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.076396,-118.295382
WU879,900 BEACON AVE,Single-Space,FLAT,$1.00,2HR,34.04995,-118.275141
PR775,9701 W PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.05425,-118.401663
WA1671,1200 ALVARADO ST,Single-Space,FLAT,$1.00,1HR,34.047548,-118.282357
CB317,1300 S BROADWAY,Single-Space,FLAT,$0.50,4HR,34.035865,-118.262076
BH283,1900 1ST ST,Single-Space,FLAT,$1.00,1HR,34.045635,-118.215609
WA1334,2200 OCEAN VIEW AVE,Single-Space,FLAT,$1.00,2HR,34.062814,-118.274685
SS63,1501 S BUTLER AVE,Single-Space,FLAT,$1.00,15MIN,34.04615,-118.452543
WW1494,1200 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.048373,-118.308944
WW2258,2800 PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.047139,-118.301802
WS709,1700 S MALCOLM AVE,Single-Space,FLAT,$1.00,2HR,34.050662,-118.43491
SA133,1200 LOGAN ST,Single-Space,FLAT,$1.00,1HR,34.076963,-118.258491
ED424,900 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,34.030662,-118.249255
CP165,21600 W SHERMAN WAY,Single-Space,FLAT,$1.00,2HR,34.200921,-118.600579
L8A,5200 W BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.07613,-118.32407
AE333,201 VIGNES ST,Single-Space,FLAT,$1.00,2HR,34.049603,-118.23375
CB692A,800 S MAPLE AVE,Single-Space,TOD,$2.00 - $6.00,2HR,34.040026,-118.252001
BF544,801 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,34.0862,-118.361601
WW2261,2800 PICO BLVD,Single-Space,FLAT,$1.00,1HR,34.047139,-118.301576
WW895,600 KINGSLEY DR,Single-Space,FLAT,$1.00,4HR,34.062309,-118.302786
SP109,701 PACIFIC AVE,Single-Space,FLAT,$0.75,2HR,33.737575,-118.288011
VW1658,1300 DEWEY AVE,Single-Space,FLAT,$1.00,2HR,34.047025,-118.295789
C103,3401 VERMONT AVE,Single-Space,FLAT,$1.00,4HR,34.024501,-118.29168
VN688,14301 W DELANO ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.182743,-118.446167
VH51,4600 KINGSWELL AVE,Single-Space,FLAT,$1.00,1HR,34.102632,-118.291183
HO220,1601 N IVAR AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.100598,-118.328239
SL602,1501 GLENDALE BLVD,Single-Space,FLAT,$1.00,2HR,34.082303,-118.260256
MD212,1700 ZONAL AVE,Single-Space,FLAT,$1.00,4HR,34.061705,-118.210277
VN766,6101 N SYLMAR AVE,Single-Space,FLAT,$1.00,2HR,34.182272,-118.446596
SH439,1101 N ORANGE DR,Single-Space,FLAT,$1.00,1HR,34.09095,-118.34168
CT390,800 N SPRING ST,Single-Space,TOD,$1.50 - $4.00,2HR,34.062572,-118.236505
WW1446,901 WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.053677,-118.30916
ED21,500 S CENTRAL AVE,Single-Space,FLAT,$0.50,4HR,34.041426,-118.23972
PB146B,5501 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,34.049732,-118.359471
ED466,800 S CENTRAL AVE,Single-Space,FLAT,$0.50,4HR,34.032537,-118.243731
PB316,1401 S RIDGELEY DR,Single-Space,FLAT,$1.00,4HR,34.048187,-118.355932
CB3340,100 W 9TH ST,Single-Space,FLAT,$4.00,2HR,34.041821,-118.255425
BF41,401 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,34.078613,-118.361552
SS532,11301 W IOWA AVE,Single-Space,FLAT,$1.00,2HR,34.044565,-118.448863
MV202A,3800 S GRAND VIEW BLVD,Single-Space,FLAT,$1.00,2HR,34.003061,-118.429708
CB3497,301 W 12TH ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.039769,-118.262614
HO565,1700 N CAHUENGA BLVD,Single-Space,TOD,$0.50 - $4.00,2HR,34.101869,-118.329451
LM506,7301 W BEVERLY BLVD,Single-Space,FLAT,$1.00,1HR,34.07625,-118.35063
GA3,3301 GLENDALE BLVD,Single-Space,FLAT,$1.00,1HR,34.119049,-118.259974
VN649A,14300 W DELANO ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.182568,-118.446161
CB438,1300 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.035284,-118.259588
ED377A,701 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,34.032333,-118.252864
WV155,10900 W LE CONTE AVE,Single-Space,TOD,$1.50 - $2.00,2HR,34.06357,-118.447467
CB649,801 S WALL ST,Single-Space,TOD,$2.00 - $6.00,2HR,34.039911,-118.250734
SG227,1500 N DETROIT ST,Single-Space,FLAT,$1.00,2HR,34.098181,-118.345508
SV627,7001 W SUNSET BLVD,Single-Space,FLAT,$0.50,2HR,34.09807,-118.342524
WF35,8101 W 3RD ST,Single-Space,FLAT,$1.00,2HR,34.072441,-118.367564
WA1112,651 BONNIE BRAE ST,Single-Space,FLAT,$1.00,4HR,34.056047,-118.274232
VN395,6200 N VESPER AVE,Single-Space,FLAT,$1.00,2HR,34.18444,-118.450831
